-23° -33' -14.8237''	-51° -40' -21.0657''
-23° -33' -13.4601''	-51° -40' -21.6603''
-23° -33' -11.9276''	-51° -40' -21.1377''
-23° -33' -10.3963''	-51° -40' -20.6012''
-23° -33' -8.7436''	-51° -40' -20.4000''
-23° -33' -7.1681''	-51° -40' -20.3869''
-23° -33' -5.4986''	-51° -40' -20.4723''
-23° -33' -3.7808''	-51° -40' -20.5476''
-23° -33' -2.3354''	-51° -40' -20.6119''
-23° -33' -0.7338''	-51° -40' -20.6259''
-23° -32' -59.2187''	-51° -40' -20.5867''
-23° -32' -57.6812''	-51° -40' -20.3228''
-23° -32' -57.0471''	-51° -40' -18.8400''
-23° -32' -57.6495''	-51° -40' -17.2529''
-23° -32' -58.1543''	-51° -40' -15.6555''
-23° -32' -58.4547''	-51° -40' -13.9558''
-23° -32' -58.6433''	-51° -40' -12.3325''
-23° -32' -58.8081''	-51° -40' -10.6806''
-23° -32' -58.9835''	-51° -40' -8.9930''
-23° -32' -59.1493''	-51° -40' -7.2926''
-23° -32' -59.3292''	-51° -40' -5.5140''
-23° -32' -59.4849''	-51° -40' -3.9199''
-23° -32' -59.6704''	-51° -40' -2.2161''
-23° -33' -0.0686''	-51° -40' -0.5890''
-23° -33' -0.7894''	-51° -39' -59.0313''
-23° -33' -1.4510''	-51° -39' -57.4521''
-23° -33' -2.0200''	-51° -39' -55.8918''
-23° -33' -2.5053''	-51° -39' -54.1906''
-23° -33' -3.7244''	-51° -39' -53.1318''
-23° -33' -5.1301''	-51° -39' -52.3899''
-23° -33' -6.5478''	-51° -39' -51.6198''
-23° -33' -7.9400''	-51° -39' -50.7374''
-23° -33' -9.3540''	-51° -39' -49.8867''
-23° -33' -10.8905''	-51° -39' -49.8364''
-23° -33' -12.4269''	-51° -39' -49.9454''
-23° -33' -14.0871''	-51° -39' -50.0270''
-23° -33' -15.6096''	-51° -39' -50.0793''
-23° -33' -17.1698''	-51° -39' -50.0802''
-23° -33' -18.8121''	-51° -39' -50.0241''
-23° -33' -20.3718''	-51° -39' -50.0239''
-23° -33' -22.3121''	-51° -39' -50.0508''
-23° -33' -23.6074''	-51° -39' -50.2209''
-23° -33' -24.5009''	-51° -39' -51.7012''
-23° -33' -24.1862''	-51° -39' -53.3600''
-23° -33' -22.8870''	-51° -39' -54.3528''
-23° -33' -21.2282''	-51° -39' -54.1263''
-23° -33' -20.1070''	-51° -39' -53.0761''
-23° -33' -18.8949''	-51° -39' -51.9063''
-23° -33' -17.4379''	-51° -39' -51.2074''
-23° -33' -15.8946''	-51° -39' -51.0646''
-23° -33' -14.2412''	-51° -39' -51.0729''
-23° -33' -12.5219''	-51° -39' -51.1637''
